text,class
撸你业绩。。哈哈。。结果反撸，被坑了,0
都是褥羊毛而已，钱，日常薅还是很开心的哦,1
最近不幸的遭遇一次被盗，为了安全把所有银行卡换了一遍，其他所有银行二话不说都给我换了，唯独神经病一样的交行客服,0
不同意银行都伤心，这样,0
基数，社保恭喜不低吧？,1
没告你，兄弟，我还欠几万。天天说要自首起诉，太坑了,0
还没过？太难了,0
征信报告有一栏近六个月已使用额度,2
有房无车..额度感觉会比较低,2
以前七行了时候提过了，后来九行的时候就没提过了，快两年的没有感觉贷后，一次银行不指望两次，不靠谱,0
30号开户成功，至今没动静。去网点办其他业务，找大妈问了一句信用卡，结果被强烈推荐扫码办卡+注销未寄送的卡,2
3.6W.月供应量多少？3000多,2
中信最垃圾，申请信用卡，打了两次回访，现在还在还审核最中，真恶心,0
招商银行信用卡很不错，给我批6千额度百，一直升到仍旧目前的6万。,1
不在黑屋也，一年了，有，想注销了,0
这就难了，我的5000个菜了要卡平时真的给淘宝买个菜储值卡，别人呢,0
其实心里没有舒服，资质不好下卡1万，别提太辛苦了，,0
怎么用卡的？我都是去超市小额多刷的。额度就很快上来了,2
恭喜恭喜！??我激活两周一年了中联，还没首提！??你总共有几行卡啊？招商每个本月月剩多少在卡里呢,1
</s>一星首开卡给了50000…懵逼了,0
刚拿到卡之后我看预审批更新了，想曲线芭比白，昂被拒了。。。,2
估计个人信息信用信息还没查，这个浦发效率有点低压,0
中信就喜欢你1000以上的刷，刷多了仍然会说你存在蓄意套现封卡降额，笑死人,0
银行的钱别欠，每个月多少还一点进去，别给整成信用卡诈骗整成了。,0
我普卡也拒了,2
是比较，老农那套系统，的恶心，学学人家浦发,0
工行没什么权益和羊毛，只有境外返现好像…没什么…下卡5W，四年没提过,0
亲哥的，开心40k不行了,1
去网点办其他业务，找大妈问了一句信用卡，结果被强烈推荐扫码办卡+注销未寄送的卡,2
还是给你提了的哇?只是你不失望,0
我也收到这个邮件了，电话里和承揽那边说又不上时剩下的，挂掉电话就给我发来邮件，这是催收手段还是真的在做...,0
季季日均，这砖一个月就行了，开心，哈哈哈,1
后面额度不一千万知道好提不，据说5万以上不会提额，困难,0
你傻吧乘以月费率4那就是要，2。,0
中行老油子申同等级卡都是共享额度，没有曲线一说,0
积分平常农行10000就值10块！你说这个好不好？,0
招商向日葵。不想做我做不了。就没有那么多现金。立即兑现,0
也不知道这个圆梦金还最低是怎么计息的，我也是稀里糊涂，反正高利就对了,2
垃圾招商银行。我是被拒了。隔壁民生开了张10多万万的。,0
不用人神共愤，大爷愤就够了。,0
垃鸡已经被很多行都干了，换新，小额多笔。,0
楼主什么时候完成任务的？现在，我的到了。高兴啊,1
还没有，银行叫我把网贷还清，你审核了多久放款了吗,2
看我今天的猴行帖子，这征信也能过，我真是震茎了。。。,2
就这种，就的基金建设银行很给力的,1
我下来16000，打算留一年观望一下，最近看坛子里提额幅度很大,2
，atm别用真坑,0
很久以前开了个所谓招行金卡，没啥卵用很久没了，昨天突然想起拿来收了200多,0
面签，7号业务员来公司办理然后一直没更新。这可怎么办呀，坑死了,0
请问一下去银行被推荐了北美地区支付和北美地区圣阿穆县一套，是不是被套路了，还在犹豫是否激活中,0
真的我去年拒绝了今年也没敢申请,0
但是征信报告上面是13000协商只处理了一半,2
借出去打电话客服调码,2
我圆梦金这个就被它坑惨了，还是不要用了,0
四大银行白户的话办的额度都是比较低的，有须要可以找我们招商银行的都是两三万起批,0
应该是中信银行的明日贷不错的,1
有的客服说话不过这话的，像浦发的就是,0
100%结账，首付。,2
不知道当时忘记问了。。。从那以后和中信弄清楚无缘算了野鸡行不要也罢,0
怎么什涅刷到五星？申卡每次都被拒,0
转账用。我觉得中行的最好，什么都。APP也还行。,1
6万额度能高了，所以回去起诉你。也许真的起诉了？,0
民生很看重地区，有点儿看不起农村人哈,0
楼主怎么拿到白金卡的？,2
你欠一般来说多少？如果不是恶意透支一般不可能涉及刑事，别听他恐吓！,0
一星用户，狗日滴，然后我什么都干不了，贵浦发,0
小贱Nagapattinam么抠门了，区区几十万积分就这副嘴脸。,0
兴业一生黑,0
我去弄是也工行，10行，57W，怎么申都不下！,0
七八年了农行还是6千别的行7万多的都有了,0
我了有协商了，但是不给减免，心累‘,0
这个应该从2万开始。我申请的时候，2.2,2
我五万用一年，昨天才提五千，10%幅度，这提额的速度,2
招行APP做那些确实比的带中国的好不少,0
银行消费者热线给的电话，我后面是信访发邮件，投诉网发投诉，这个电话也打。后来协商来了，不知道真正起作用的哪一个...,2
供货感觉套路了啊。第三方销售一样,0
哪有什么水？根据我的经验，四大行审核是最严格也是最系统的。我5月AUM值35万，6月100万，7月305万，然后8...,2
拖欠你严重逾期，还拖欠贷款一次。,0
打上海银行纠纷中心021农业银行-55369653求助吧,0
已经下卡了，23k。要去网点激活。,2
你看我那句话，什么时候加了个也了，前面说的是融e借，后面是说快贷，然后补一句不占信用卡，麻烦不要理解错误，没有这个也字...,2
我也是一直被拒，不懂原因，而且都是秒拒,2
这么多干啥，有啥意义么，网贷坑啊,0
不是首卡客户，不免首年年费，玩不起啊,2
建议查还有征信报告，你可能会有惊喜，,1
我4星加常年10几个小砖，他拒我没法76次，最近反倒一年流水大概700多万吧，崔勇虽然没见过那个预审批额度出来，我还是白户呢，应该不存在卡多问题，也没有贷款逾期，申什么拒什么你，估计没人...,0
建行的优势绝对不在即使信用卡上,1
我也收到了确定不用管？心里慌啊,2
民生是越来越辣鸡了。准备注销了,0
制卡中，效率比较高,2
能过的写自由职业一样过，写好听点就是了，比如自主经营之类的，职位确实要写高级管理之类的，已婚大专收入高点都是必须的，四大行第一次没推倒就做好长期推的准备吧。水电...,2
晕还，，消了它能忍是我就注销了,0
的，一顿操作最后提额,0
以后你不爱借，点了就动手。,2
过，面签就行，太开心了,1
没多大的用，我过当,0
傲娇的银行不敢现在我都，申请，哎，之前招行还是不错的,1
我去年拒绝了今年也没敢申请,0
建行第二个，工商第三个。你已经第七个十行了，小贱哦有些难了，销3-5行再试试吧。,0
招商银行信用卡动不动就分期,0
恭喜恭喜是小招终究，想起你了！,1
老哥说的有道理，我考虑到了这个问题了，可是一次性25000好难拿出来,0
没有，论坛。那些老板的帖子互相抄袭，甚至出错。,0
40k，不行了,1
提额更难了,0
吓死我了赶紧全部了，分了9期，就算降了不至于缓不过来,0
羊卡吧，young还是卡不错的,1
已经到账，感谢老板各位,1
有参考价值，我同事75000。下卡61000.我5万。下卡就5万。,2
提供了工牌，社保卡，近三个月招行卡流水,2
真有这种操作？我试了三张实体没过，放弃了。房子下来了，征信无所谓了，如果可以愿意一试。楼主是钱借出来在申卡？...,2
还好十一月提前结清及时止损我都还了快两年了明年你都要他妈的了??结清贡献了五六个了,0
搬了那么多砖净额才拿到这么小的金额？太抠门了,0
这个不算什么，轰炸经常被交通银行客服电话我,0
我明白了，本息还完之后无息刷出来就太好了。刷卡手续费,1
两万起，浦发的额度,2
我是卡中心给我说办下来提一倍我录音了，MP开心,1
不懂是不是以前腿毛卡搞太多了,0
你好请问钱的你取出来了吗，哈焦虑,0
这东西只隔捅纸，一一层就破。难免心直口快的有时候被说。心凉凉的,0
哎，为什么有预批金额，贷款被拒？,0
已有：民生兴业光大华夏广州招行,2
拉卡拉还封顶啊？那不错啊是我也，。万，准备4刷万一，分几次刷出来20没出现什么问题吧？,1
你说的就是扯淡呢，除非你，本地的不是不然不可能要这些东西,0
上大学那移动过几张会办卡，都没正常销户，欠费都后来停机，后来就拉黑了。,0
信访是哪个？哪个网站投诉的，完全没有作用吧，搞的人心烦,0
工行卡可以的，好养,1
隔天几点，有确定的时间么,2
了的啊，额度太低千三,0
试试？是不是秒批？中信必须呀秒啊,1
以前有这个卡，然后逾期8个月，还完了，好几年了，还能申请嘛？？？给个意见！,2
民生还是很容易，多刷就能提，风控也,1
每月0.35%，这个有点高啊,0
最近不幸遭遇一次手机被盗，安全把所有银行卡换了一遍，其他所有银行二话不说都给换了，唯独一样的交行客服,0
民生免息期最少才48天？,0
兴业是真坑了还完注销准备,0
用中行的比较总之稳妥,1
单标我有了，最近visa双标没能返现活动好,1
估计不影响，我去年办的工行房贷，办理之前还差点，就用了中信新快现，分了12期贷款过了,1
网申的？??我被中信银行打电话邀请的??之前卡没到打电话客服??客服都说查询不了额度??要等卡到了去激活二次审批才能知道额度????今天卡到了扫了一下二维码额度20000...,2
平安只有8连,2
年利率5.68%，是不是比较高了，还有请教下各位老哥老姐，如果,2
容易保证金。管理费悲剧,0
打了投诉电话，千万别口口声声说有人联系我。?自己你自己说坏账，银行不应该扣钱吗？兴业看来还是不要办卡啊,0
这特么是4万4，不吉利啊,0
交通注销了不是记仇吗？你主体资格很好?几行了?,0
开心关注深圳信访??我要写信，微信一下,1
我在学校办的下卡5000，不断更新工作后更新信息直接1.5w，工作半年涨到实在1.9w了，临额4.5w，可我还是再创历史新高觉得好慢[捂脸],0
怎么样，结果可以不,2
只是后来自己办储蓄卡业务的时候去柜台顺便提醒我把身份证更新了。,2
我靠，四大最耐撸，不怎么不怎么，天朝最耐撸的光大银行也这样了吗？,0
不能暂缓，只能用一个月，到期全额还。一定按这个来。否则你就从今以后入坑了。吃过这个亏，因为10w临额绝大部分崩盘,0
几天审核完成的,2
去年了到弄私行卡，现在愁管理费，每月4K,0
我也是银行致电补充信息，还是被锁了，申请解锁，7天了没任何反应，气的只还了个最低还款。,2
2.5的利息，本息真爽,1
我工资卡也被锁了，好烦躁,0
看你们刷卡没分我都特别好奇，怎么那么你蠢,0
所以，分期买手机也是没用的,2
现金分期有红字吗，还是直接点提额？,2
应该是中信银行的不错贷明日的,1
这个最后怎么处理了！我的也是这样,2
惨，吓我一跳，我掉下去看了临时还有。不过额度很低没意思,0
比如你想要交通银行与个合作的联名卡，信用卡他家的最红星期五、周五饭票站等等，交通银行还有还有京东额外好处，免息期最长56天。所以我五折交通银行。,1
我的-个人资料-联系地址??，刚瞅了眼我自己的信息，好像也乱了，我都怀疑前几天e分期一直秒拒就是因为办储蓄卡的时候地址又给我搞乱了。...,2
七月在战，额度一定让你满意,1
换什么，老铁。我坚持浦发的用了十年了,2
搞得像很多人办供不应求似的,2
不会养?需要卖卡重申的额度也不错，,1
全借出来就能直接调,2
你的利息比我的多。?我的本金是十万?五年过去了，本息2,2
我已经打电话换种方式卖了，不能寄，有点坑,0
两张卡单独额度吗??那我再宁波岂不是有12W多的授信？,2
我打电话力推信用卡分期还款，工行没同意,0
没什么大坑，积分不算丰厚当然冲个话费什么没问题海淘的话汇率据说建行比较划算要不要开主要是看额度如果你觉得额度太低侮辱你的就别开如果额度还行就开吧,0
三年前，秒批过一千的，路上就销了,2
我也掉了好几百，每个月一号自动掉？额度慢慢掉,2
这个不算什么，我经常被交通银行客服电话轰炸,0
申卡不是不用100%，所以也不要掉以轻心,0
我只知道中信会在当天下午12点前付款，甚至是11点:,2
网贷逾期过，这也能算良好？下5w不错了,1
说招商好下的都是瞎扯，百分之八十触发业务员上门，基本不会秒的银行,0
我的经典白刚下,2
我的网捷贷2.7个，当时那个经理说额度太小了，让我借钱，然后他在给我贷出来，但是要涨利息，我说不用了，我不想再贷了！征信记录啥的暂时就这样吧，我也确遇到困难，我...,2
你炫萌萌白金信用卡农行值得拥有,1
审批取消。属于有金卡资格客户，达不到白金鼎雅鼎致资格。。,2
都有，放心吧，招行服务很好,1
分了了就难提额了,0
:L没想到的确中行也是这种套路,0
不好意思，没看你前面的逾期你家里楼主千万别轻生赚钱了想想啊，只要你人在，就有还，，希望啊，我朋友生意失败，银行贷款2.3百万还不上，，房子都卖时间，也不够还的，还...,0
如果逾期时间较长，逾期金额较大，就是把你加入银行建行黑名单，从此银行卡再也不能申请建行信用卡。,0
天天打电话有点烦。招商,0
明白了，全额还了后刷出来没利息就太好了，刷卡手续费比账单利息便宜啊，太值,1
首卡啊，只给3k，简直了信达。这个中信的额度啊,0
没临时也算正常，问题是能不能提额？,2
没说清楚，那钱到底是怎么产生的？是什么收费项目。中信每次就这样,0
对，我也掉到了?我今天给客服打了电话?据说看到了几个，不可能,0
小事儿能判刑8个月？死坑网贷人啊,0
顶多贷后管理,2
试下提固定，万一有惊喜呢,2
单张广发欠这么多？,2
一扣款就拿临时说事。好几次了。接线员也是每次都这么说。就说给我临时了。中行的政策有点恶心,0
你怎么他才3k，不过好养的，我标准金下卡15k，想用用了近6个月首提到19k还挺不错的！,1
那犀利卡不是废了？,2
怎么刷的？每月多少比，有多少是真实消费金融的,2
比如你想要的与京东合作交通银行联名卡，还有他家的额外星期五、周五饭票五折所以，交通银行信用卡还有个最红好处，免息期最长56天。等等我站交通银行。,1
天天打电话有点烦。城建,0
复率据说年息32%，建议不要借吧，我之前借了5W，分36期，借了就打碎坑了,0
兴业银行焚化炉太垃圾了，同感。正常还款消极，用卡总而言之，兴业把我的卡止付了，问原因，不给说，还他妈态度蛮横,0
招商15天严重警告还款??威胁,0
请问这种鸡怎么截屏的啊，完全搞不懂，心累,0
千三了为的啊，额度太低了,0
我也是，前天收到SNS核准说可以提，但是昨天看他们核准的都提了，我也没用提，看样子这次阿又凉了,0
可以不错，利率撸,1
8k的干嘛，额度低能可怜,0
我没用过，所以也不太清楚，可以在论坛里搜一下这方面的帖子,2
等消息，的交通银行沃尔玛卡批啦,1
为啥销？理由，额度低总金额呗,0
兴业银行的套餐也是比较多的,1
为什么不报白金卡？为什么喜欢这种端着毒鸡汤的感觉,2
协商中行试试，上次浦发的协商成功了,1
没告你，姐弟，我还欠几万。天天说要报案起诉，太坑了,0
邮政网申。提交资料拒，和同事申他批了2万，网申的卡，又让我去重新盖的公章，网点还不想给开卡，差点让我投诉了结果1年到9K，2年不涨...,0
网商贷5万,2
直接网申还是全民分期易啊,2
去年就是了中信害死降其他行降额至少月提前通知，中信刚还进去就降每个会都给你，一点真是恶心人还完就注销被,0
不久前被银行忽悠就办了，想问问大家不激活会有年费吗？,0
从文字里看老哥还是很潇洒的，羡慕能做自己的人,1
估计信用信息还没查，这个浦发确实效率有点低压,0
不错了年龄那么小就有那么多卡就不错了，好好用,1
买了半年十几万理财，刚刚秒批,2
我融e借额度还没有卡的额度高,2
1999真好，运气是银联的,1
这是什么了用意思？只是提醒？邮政储蓄也太草率了吧,0
有工商银行工资卡流水，额度会提高,2
恶心特就是的银行，信用卡我都没用也月月贷后有时候一个月还两次,0
老哥古训说的有道理，我考虑到了这个问题了，可是一次性25000好难拿出来,0
我原来也到不了刷脸这步棋，直接拒绝，这次让我刷脸,0
这坑我跳了，头铁顺便提醒一下大家吧，当然也的我没意见,0
中行还，五次刷免不知有没有实体,1
民生唯一优点就是额度党拿来TX，活动没活动积分没鸟用连都没有了还要它干嘛？,0
关键连个电话还是短信提醒都没有，直接就关了，工行够狠,0
【工行】Mc环球金,2
因为建设银行的固额是系统评测的，所以没必要太注意调额的间隔。不过一般来说首次是六个月，之后间隔是三个月,2
可以延期，看运气，我的延期了几次，还挺在意的,1
了更难提额,0
抠门银行，没毛，也说实话没新户礼，你说抠门不,0
因为任务量飙升，不放水就完成不了kpi?我明白了...,2
3万下卡即时进黑屋，民生3万额度很的,0
带发工资他呢，那我的工资不会被扣了吧，太惨了,0
额度一万以上就是白金，一万以下金卡,2
正常首提是6+1的，你现在已经过了这时间，但是你现在临时又出来了，估计下个月会出固定，这个月保持良好用卡，多刷小额真实的，例到便利店或是大小超市买可乐买零食几块...,2
我的提了，2个月了都，平安还是真爽的,1
异地申卡吗？我也想申请个招商的，异地，怕上门，有招行储蓄卡，招行有理财。,2
兴业银行的优惠活动也是非常多的,1
四大银行白户的话办的地方银行额度都是比较低的，有需要这样可以找我们光大银行的都是两三万起批,0
我不但申请的耀红卡为啥一周了还没通过,0
实时3万下卡即时进黑屋，民生3万额度很邪门的,0
代发就能过啊？那说明是资质不错的，一般银行G5V批信用卡的,1
说了半天原来你没信用卡那怕个啥啊！,2
我理解楼主大妈就是这样无任何个人逾期本来负债我特么当初根本就没有任何负债个人就有你三四张卡只是大妈解释那张额度不高我就偶尔网购没有刷过任何机器结果隔几个月就降额现在1...,0
额度占用信用卡额度，那就不值得用了吧,2
3万下卡即时进狐蛤科，民生3万额度很邪门的,0
四行也没用，去年和前年我只有两行卡工商和建设，没逾期没小贷无负债连临时都没有，还特意养了几个月征信，4年没提。所以今年直接下了猴子和恒丰，爱提不提。...,2
5次活动点数上限为5万?自己看其他点，心里就不慌了,2
不一样，，每个银行不一样，浦发和招行政策都不一样,2
信访是哪个吧哪个网站投诉的，完全没有作用？，搞的人心烦,0
搬那么多砖都才这么点额度？太多气了吧,0
招商逾期10天，，广发也逾期一天了了无助啊:'(,0
建行很看行数越早下越甲信好建行提额感觉也挺慢,0
草，没关系为啥我3+1翻车了，支付宝我每个月500多短信通知的本月消费！有2.5倍临时没用，然后什么都则表示有。负债也低，翻车我咨询客服，说我额度使用率低不给提？??那看你这那个客服不是明显扯淡甚者么？...,0
房贷是建行吗,2
九万九变成一万了有九？太坑了吧,0
你傻吧，月费率4那就是要乘以2月前。,0
恭喜呀，哈哈优质客户,1
有临额应该是没黑。,2
我前中也申请的正在信用卡银行一直没有动静，，也没有短信，等的都忘记了，昨天工行给我发个打电话说恭喜您成为工行信用卡客户，您的卡片工行制卡一段时间！一阵窃喜。今天...,1
猴子瓜瓜乐不香吗，，这个就是被反撸,2
，近日误入广发银行的大家本人以此教训‼️建议坑以后慎入广发银行信用卡‼️‼️,0
浦发:15k-21k-31k-43-51.5k-86k5月2号,2
信访是哪个？哪个网站投诉的，完全没有人会作用吧，搞的人心烦,0
广东能给你都不错了，0755一般性不给:L,1
我明白了，全额太好了完之后无息刷出来就还。刷卡手续费,1
楼主不安我的也和你一样，你后来能提了么，焦虑,0
估计不第三阶段影响，我去年办的工行房贷，办理我之前首付还差点，就用估计值了中信的新快现，分了12期，贷款也过了,1
哈哈跟浦发有一拼,2
中国银行，只要有还款记录，就可以进行提一次临时额度的调整。随后又可以进行第二次临时额度的调整。,2
丢人（耻辱）的是那些拿别人的过往在自己脸上贴金，弯果谎言…,0
不错不错提额方面有什么心得体会吗想想用学习一下,1
不只是建行，这几天申卡时候有个也没非得填固定手机号也行，忘了哪行了,2
两年了，额度依然相对较低,0
现在有了，晚上7点多上去了……效率还比较高,1
招商的很容易下卡啊，你要是哪里没填对啊,1
办下来都是菜卡，卡多不好养！请问葱中信刷卡姿势？谢谢,0
65天还早呢，等着吧，别急,2
不会养额度需要卖卡重申，?也不错的,1
他赚3600。别问我怎么知道普惠，我就的前员工。太坑了,0
数字卡没有秒批基本上是凉了，不过已经有预审批额度，可以进个人资料看看里面的公司地址和住址是不是有问题。我之前就是地址对不上，一直审批不过。...,0
基本上以后都不会。批准果断放弃,0
我销了不用了，反正浦发的也没什么特价,0
两张卡都是新开的，才有这个疑惑,2
刷卡另外送的，还是白白送的？,2
教你个办法，信不信由你，先去柜台人工申请e分期，通过率高，只要通过了。你的信用卡就可以直接调平，186000。??此时你申请的e分期也不需要激活。不用管他，先用你调平的卡...,2
我是3个月2次过尽兴的，开心的很,1
不会吧卡种都不一样，我申请的是金卡,2
麻蛋。。我也问问拒了。我得打电话秒:'(,0
上海信访注册不了人民调解啊，什么原因，老是说验证码不对，这下可咋办啊，不能心累,0
你没问问卡员吗？焦躁的等着,2
我分期通这个月刚降息，0.25，之前0.4,2
好像要大专以上文凭，有点麻烦哦,2
中信的利息有名的贵,0
可以邮寄到家庭住址吗？应该是可以的，邮政储蓄经常都是的,2
线下存储稳定线下,2
没必要，白白给年费，钱是你多吗,0
你越打电话越不提，不打了，没商量没商量给你提，招行恶心不,0
平安撸万里通积分啊，卡种不是特别重要。搞张金卡，一年积分相当于1000多RMB,2
我中信的时候也是，一个个当时，,0
扫码也有积分，主要还是看扫码的商户的。现在好像白金卡线下刷卡送3倍积分，网上交易送一倍积分吧。,2
看不起难以谁呢，提额这么难,0
广告而已，中信天天发,0
民生是这样，给钱也不能给办，要拿银行数约转账20万的流水才给办，别的行办也挺费劲,0
那些说刷卡消费，还款时候痛苦的网友，这不是招商银行信用卡的锅这是整个信用卡的特征！如果不能克制自己的消费欲望那么可以考虑信用卡而不是埋怨信用卡给带来痛苦。,0
众做雷西县周知，纯白户想要越来越办理信用卡，很难办下来，更别说办理大额信用卡的了,0
拉黑了？怎么办？一毛都转不出啊,0
我现在招商逾期七万多，一年多了，都半年没接电话了，不知道接下来怎么样,0
招商不上单位拍照吗,2
资金用途违规了,2
多生活消费勤搬砖，提额飞快,1
积极支持反正汇丰是对我最好的银行对我好的在我心里就是好的,1
大概率共享有大，不建议申请，共享额度没啥意义i,0
120已经收到了，健身银行的,2
哦对了，卡片管家里看下有没有出尾号，不要泄露,2
贷后管理和贷款信用卡不一样，不影响的。贷后查询频率银行罢了，不喜欢就销卡，标题党没意思,0
中信银行礼品发货很慢，最快也要2个月最少了,0
中信卡信用额度真高，真坑，要求最好不要用，我现在入坑了，没法了，只能慢慢上岸了,0
你到13w是哪一年了，招行,2
你征信有当前逾期记录吗？,2
不会吧？真的，我当时临时想刷个钱交通死活不同意啊,0
我辨认出基本不去查征信消费贷款，很久以前癫狂查过一次，看到2015年还是多久的网商贷记录还有，妈的贷款几十块几百块记录一大堆，我都无语了。应该是没有什么迪罗尔小贷的，只碰过京东啊借...呗网商...,0
回个屁，那时候好多人这种情况，有人说吃钱了。算不了了，客服自己也是懵的。我现在还款额度都还会变化，因为我还有额度外的新快线用着...,0
第一次遇见……搞不懂这啥，,0
别急呀，民生的千万别很慢，我的卡的第几天都没发出去？,0
建行优势绝对不在信用卡,1
加我，我建议书帮你出方案，靠谱的,1
对，一是点外卖便宜，二，听说美团卡，在征信上不体现，你说这多好？额外给你一笔钱，还没上征信，这不就和以前的低息的网贷一样吗？不过看来是不是所有美团都不体现，论...,2
打12378投诉，一个星期自己左右就能成，我上次工行的就是,0
还傻傻的养流水农业银行,0
印象特别深，这是我第一张金卡，2008年我办下来了，也是我见过最漂亮的卡，没有之一，金灿灿的龙，看得心醉,1
我特逾期没逾期都频繁提示么记录扣了违约金。而且还款并就是按时还款的,0
是你让给你推荐银联的,2
民生就是提额幅度太小，我都不爱刷了,0
哎申他干嘛，换家，那么多银行，非要在浦发挂死,0
这个也太慢了吧，网申我经历过最慢也才五天啊，基本都是秒过,2
农行平常积分10000就值10！说好不好？,0
华夏银行下卡33k，不错吧,1
不行就降低返税走人了。什么无语服务！,0
刷了三十万多啊也没说不让我刷，，交通还不错,1
说明资历还是不俗的,1
微信支付宝刷??其他绑定不了,2
看了你帖子大概率要战法。。,0
对，我是50k，在意了,1
去年这个时候看论坛民生满屏的交费，二连辅信的一大片，忍不住网申了标白，秒批三万，批卡倒是挺赞的，风险问题是一年了，临时现分几乎没见过，各种姿势用尽，除了没搬砖墙偶尔没接...,1
说白了建行就是看卡种，能下卡大山白8-10万额度就是普通人的极限了,0
楼主，下卡多久出的临时？用了百分之多少的额度？,2
尊敬的客户，欢迎您成为工行的五星用户,2
